,count,mean,std,min,25%,50%,75%,max
YEAR,33440.0,2022.4425538277512,1.1175376479306334,2021.0,2021.0,2022.0,2023.0,2024.0
CASEID,33440.0,20225054447464.51,11176787550.386284,20210101210037.0,20211111210858.25,20221210222214.5,20231110232188.25,20241212242303.0
SERIAL,33440.0,4196.820723684211,2441.5122101010593,1.0,2090.75,4180.5,6270.25,9087.0
REGION,33440.0,2.670035885167464,0.9999428189779739,1.0,2.0,3.0,3.0,4.0
FAMINCOME,33440.0,12.170095693779905,3.673485717180491,1.0,10.0,13.0,15.0,16.0
HH_CHILD,33440.0,0.30044856459330144,0.4584599329045975,0.0,0.0,0.0,1.0,1.0
PERNUM,33440.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
LINENO,33440.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
MONTH,33440.0,6.222607655502392,3.464994609453768,1.0,3.0,6.0,9.0,12.0
DAY,33440.0,3.936991626794258,2.330508552755478,1.0,1.0,4.0,6.0,7.0
WT06,33440.0,11777288.90722247,10715928.511891743,787396.750391,5224386.95427125,8742111.376361,14386192.73712075,194366929.614834
AGE,33440.0,52.73947368421052,18.582886557242027,15.0,37.0,54.0,68.0,85.0
SEX,33440.0,1.539653110047847,0.49843260340971546,1.0,1.0,2.0,2.0,2.0
RACE,33440.0,104.54991028708135,15.311343342674528,100.0,100.0,100.0,100.0,599.0
MARST,33440.0,2.8238038277511963,2.08299815430496,1.0,1.0,1.0,5.0,6.0
GENHEALTH,25771.0,13.053548562337511,29.96499969873862,1.0,2.0,3.0,4.0,99.0
EDUC,33440.0,31.501166267942583,9.253225185657449,10.0,21.0,31.0,40.0,43.0
EMPSTAT,33440.0,2.667194976076555,1.9341348980933162,1.0,1.0,1.0,5.0,5.0
KIDUND18,33440.0,0.2446172248803828,0.42986644907965726,0.0,0.0,0.0,0.0,1.0
WB_RESP,9087.0,0.7595466050401672,0.427382335360417,0.0,1.0,1.0,1.0,1.0
RESTED,9087.0,25.214262132717067,41.5247126953584,1.0,1.0,2.0,4.0,99.0
WBWT,9087.0,8949507.754401384,10147190.149860105,0.0,1956529.3865765,6308561.195797,12468491.1851155,107866678.827947
WBTYPICAL,9087.0,25.200726312314295,41.52855308654493,1.0,2.0,2.0,3.0,99.0
WBLADDER,9087.0,245.768350390668,423.8323914419612,0.0,7.0,8.0,10.0,999.0
BLS_COMM_TELE,33440.0,8.125,30.151289477976302,0.0,0.0,0.0,0.0,1040.0
BLS_LEIS_SOCCOM,33440.0,39.08379186602871,90.50166764817332,0.0,0.0,0.0,30.0,1150.0
BLS_LEIS_TV,33440.0,188.64949162679426,191.13426580746264,0.0,40.0,135.0,270.0,1424.0
DIGITAL_LEISURE,33440.0,29.301943779904306,81.01189350935061,0.0,0.0,0.0,0.0,1216.0
